file_name,package,minor,major,total,ownership,num_of_bugs
TermContext.java,org.apache.lucene.index,0,1,2,0.5,4
ScoringRewrite.java,org.apache.lucene.search,0,0,1,1.0,0
TokenStream.java,org.apache.lucene.analysis,0,1,2,0.6666666666666666,1
DirectPackedReader.java,org.apache.lucene.util.packed,0,1,2,0.6666666666666666,0
SegmentCoreReaders.java,org.apache.lucene.index,0,4,5,0.625,0
LongValues.java,org.apache.lucene.util,0,0,1,1.0,0
RandomAccessOrds.java,org.apache.lucene.index,0,0,1,1.0,0
FieldTermIterator.java,org.apache.lucene.index,0,0,1,1.0,0
IndexableFieldType.java,org.apache.lucene.index,0,0,1,1.0,0
FilterLeafCollector.java,org.apache.lucene.search,0,0,1,1.0,0
ReqOptSumScorer.java,org.apache.lucene.search,0,0,1,1.0,0
FSDirectory.java,org.apache.lucene.store,2,2,5,0.42857142857142855,4
FilterLeafReader.java,org.apache.lucene.index,0,2,3,0.4,6
IndexSearcher.java,org.apache.lucene.search,0,3,4,0.36363636363636365,5
BulkScorer.java,org.apache.lucene.search,0,1,2,0.6666666666666666,0
NormsConsumer.java,org.apache.lucene.codecs,0,2,3,0.5,0
BytesRefFSTEnum.java,org.apache.lucene.util.fst,0,0,1,1.0,0
SortedSetDocValuesWriter.java,org.apache.lucene.index,0,2,3,0.3333333333333333,0
QueryBuilder.java,org.apache.lucene.util,0,1,2,0.5,2
WildcardQuery.java,org.apache.lucene.search,0,2,3,0.6666666666666666,0
Directory.java,org.apache.lucene.store,0,3,4,0.7,4
Packed64.java,org.apache.lucene.util.packed,0,1,2,0.6666666666666666,0
ControlledRealTimeReopenThread.java,org.apache.lucene.search,0,1,2,0.5,0
SortedNumericDocValuesField.java,org.apache.lucene.document,0,1,2,0.6666666666666666,0
MergePolicy.java,org.apache.lucene.index,0,5,6,0.4666666666666667,0
LogDocMergePolicy.java,org.apache.lucene.index,0,0,1,1.0,0
CharsRef.java,org.apache.lucene.util,0,0,1,1.0,0
NodeHash.java,org.apache.lucene.util.fst,0,1,2,0.5,0
Util.java,org.apache.lucene.util.fst,0,3,4,0.4,2
MappingMultiDocsAndPositionsEnum.java,org.apache.lucene.index,0,0,1,1.0,0
Lucene50CompoundReader.java,org.apache.lucene.codecs.lucene50,0,1,2,0.8,2
ParallelLeafReader.java,org.apache.lucene.index,0,2,3,0.5,0
BinaryDocValuesField.java,org.apache.lucene.document,0,0,1,1.0,0
Lucene50DocValuesProducer.java,org.apache.lucene.codecs.lucene50,0,1,2,0.75,0
PositiveIntOutputs.java,org.apache.lucene.util.fst,0,0,1,1.0,0
PersistentSnapshotDeletionPolicy.java,org.apache.lucene.index,0,1,2,0.6666666666666666,0
AlreadyClosedException.java,org.apache.lucene.store,0,0,1,1.0,0
NumericUtils.java,org.apache.lucene.util,0,3,4,0.5714285714285714,0
IndexFormatTooNewException.java,org.apache.lucene.index,0,1,2,0.5,0
ParallelCompositeReader.java,org.apache.lucene.index,0,0,1,1.0,0
AttributeSource.java,org.apache.lucene.util,0,2,3,0.42857142857142855,0
Term.java,org.apache.lucene.index,0,0,1,1.0,0
IntsRefBuilder.java,org.apache.lucene.util,0,0,1,1.0,0
FilterCodec.java,org.apache.lucene.codecs,0,0,1,1.0,0
